Name,Taxon Id,Taxon Level
Synechococcus elongatus PCC 7942,637000308,species
Synechococcus elongatus PCC 6301,637000307,species
Synechococcus sp. BL107,639857006,species
Synechococcus sp. CB0101,649990022,species
Synechococcus sp. CB0205,649990023,species
Synechococcus sp. CC9311,637000309,species
Synechococcus sp. CC9605,637000310,species
Synechococcus sp. CC9616,2517093019,species
Synechococcus sp. CC9902,637000311,species
Synechococcus sp. RS9916,639857007,species
Synechococcus sp. WH 8016,2507262052,species
Synechococcus sp. WH 8109,2563366603,species
Synechococcus sp. WH5701,638341214,species
Synechococcus sp. WH7805,638341215,species
Synechococcus sp. WH8102,637000314,species
Trichodesmium erythraeum IMS101,637000329,species
Trichodesmium thiebautii H9-4,2627854162,species
Crocosphaera watsonii WH 0003,2531839001,species
Crocosphaera watsonii WH 0005,2636415574,species
Crocosphaera watsonii WH 0401 (draft1),2503283007,species
Crocosphaera watsonii WH 0402,2627853717,species
Crocosphaera watsonii WH 8501,2503283009,species
Crocosphaera watsonii WH 8502,2639763078,species
Prochlorococcus sp. MIT9202,647533199,species
Prochlorococcus sp. MIT9211,641228501,species
Prochlorococcus sp. MIT9215,640753041,species
Prochlorococcus sp. MIT9301,640069322,species
Prochlorococcus sp. MIT9302,2606217691,species
Prochlorococcus sp. MIT9311,2606217680,species
Prochlorococcus marinus MIT9312,637000210,species
Cyanobium sp. PCC 7001,647533126,species
Prochlorococcus sp. MIT9314,2606217312,species
Prochlorococcus sp. MIT9321,2606217683,species
Prochlorococcus sp. MIT9322,2606217679,species
Prochlorococcus sp. MIT9401,2606217316,species
Prochlorococcus sp. MIT9515,640069324,species
Prochlorococcus sp. NATL1A,640069325,species
Prochlorococcus sp. NATL2A,637000212,species
Prochlorococcus sp. SB,2606217677,species
Synechococcus sp. 7002,2708742468,species
Synechococcus sp. 7002,2708742468,species
Synechococcus sp. 7002,2708742468,species
Synechococcus sp. 7002,2708742468,species
Synechococcus sp. JA-2-3B'a(2-13),637000312,species
Synechococcus sp. JA-3-3Ab,637000313,species
Synechococcus sp. RCC307,640427148,species
cyanobacterium UCYN-A,2528768021,order
Synechococcus sp. WH7803,640427149,species
