,taxon_oid,Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,Form,Domain,Phylum,Class,Order,Family,Genus,Species,Genome Size * assembled,Gene Count * assembled,fasta_file_key,NCBI_ID,NCBI_URL,IMG_ID,IMG_url,,,,
0,2651870210,Draft,"Water column microbial communities from Red Sea, Saudi Arabia",Nitrosopelagicus sp. REDSEA-S32_B2,King Abdullah University of Science and Technology,2651870210,Cellular organism,Archaea,Thaumarchaeota,unclassified,unclassified,unclassified,Candidatus Nitrosopelagicus,unclassified,449483,604,Ga0114047,338191,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=338191,2651870210,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2651870210,,,,
1,2502545036,Draft,Candidatus Nitrosopumilus sp. (BD31),Candidatus Nitrosopumilus sp. BD31 (assembly_A1_100119),J. Craig Venter Institute (JCVI),2502545036,Cellular organism,Archaea,Thaumarchaeota,unclassified,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,uncultured Candidatus Nitrosopumilus sp.,1754298,2338,56718,517606,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=517606,2502545036,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2502545036,,,,
2,2516493037,Permanent Draft,Marine archaeal group 1 BD31,Candidatus Nitrosopumilus salaria BD31 (Nitrosopumilus salaria BD31),"Gordon and Betty Moore Foundation Marine Microbiology Initiative, J. Craig Venter Institute (JCVI)",2516493037,Cellular organism,Archaea,Thaumarchaeota,unclassified,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus salaria,1572957,2139,56940,859350,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=859350,2516493037,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2516493037,,,,
3,2630968793,Finished,Candidatus Nitrosopelagicus brevis CN25,Candidatus Nitrosopelagicus brevis CN25,"Institute for Genome Sciences, University of Maryland School of Medicine",2630968793,Cellular organism,Archaea,Thaumarchaeota,unclassified,unclassified,unclassified,Candidatus Nitrosopelagicus,Candidatus Nitrosopelagicus brevis,1232128,1516,44958,1410606,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1410606,2630968793,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2630968793,,,,
4,646564501,Finished,CSP_300154_796307,Aciduliprofundum boonei T469,DOE Joint Genome Institute (JGI),646564501,Cellular organism,Archaea,Euryarchaeota,unclassified,unclassified,unclassified,Aciduliprofundum,Aciduliprofundum boonei,1486778,1587,41067,439481,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=439481,646564501,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=646564501,,,,
5,2511231053,Finished,Thermococcus sp. AM4,Thermococcus sp. AM4,J. Craig Venter Institute (JCVI),2511231053,Cellular organism,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. AM4,2086428,2279,16459,246969,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=246969,2511231053,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2511231053,,,,
6,638341152,Permanent Draft,Polaribacter irgensii 23-P,Polaribacter irgensii 23-P,J. Craig Venter Institute (JCVI),638341152,Cellular organism,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter irgensii,2745458,2602,57225,313594,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=313594,638341152,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=638341152,,,,
7,2541047161,Permanent Draft,Pseudoalteromonas project - Shandong University,Pseudoalteromonas undina NCIMB 2128,Shandong University,2541047161,Cellular organism,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas undina,3998432,3681,57410,1117320,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1117320,2541047161,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2541047161,,,,
8,2585427644,Finished,Alteromonas australica strain:H17 Genome sequencing,Alteromonas australica H17,University Miguel Hernandez,2585427644,Cellular organism,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas australica,4308833,3534,42275,589873,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=589873,2585427644,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2585427644,,,,
9,640612221,Permanent Draft,Loktanella sp. CCS2,Roseobacter sp. CCS2,J. Craig Venter Institute (JCVI),640612221,Cellular organism,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. CCS2,3497325,3703,10237,391593,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=391593,640612221,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=640612221,,,,
10,2506520048,Permanent Draft,GEBA-PCC,Synechococcus sp. PCC 7336,DOE Joint Genome Institute (JGI),2506520048,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7336,5140668,4768,14611,195250,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=195250,2506520048,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2506520048,,,,
11,2606217679,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Prochlorococcus sp. MIT9322,Massachusetts Institute of Technology,2606217679,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,1657550,1936,56527,167550,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=167550,2606217679,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2606217679,,,,
12,638341119,Permanent Draft,Loktanella vestfoldensis SKA53,Loktanella vestfoldensis SKA53,J. Craig Venter Institute (JCVI),638341119,Cellular organism,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,Loktanella vestfoldensis,3063691,3117,59688,314232,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=314232,638341119,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=638341119,,,,
13,2606217606,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Prochlorococcus sp. GP2,Massachusetts Institute of Technology,2606217606,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,1624310,1872,57078,59925,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=59925,2606217606,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2606217606,,,,
14,641380424,Permanent Draft,Oceanibulbus indolifex HEL-45,Oceanibulbus indolifex HEL-45,J. Craig Venter Institute (JCVI),641380424,Cellular organism,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanibulbus,Oceanibulbus indolifex,4105524,4208,58240,391624,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=391624,641380424,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=641380424,,,,
15,2606217312,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Prochlorococcus sp. MIT9314,Massachusetts Institute of Technology,2606217312,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,1690556,1977,55518,167548,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=167548,2606217312,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2606217312,,,,
16,649990022,Permanent Draft,Synechococcus sp. CB0101,Synechococcus sp. CB0101,J. Craig Venter Institute (JCVI),649990022,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0101,2686395,3049,13836,232348,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=232348,649990022,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=649990022,,,,
17,639857037,Permanent Draft,Nodularia spumigena CCY9414,Nodularia spumigena CCY9414,J. Craig Venter Institute (JCVI),639857037,Cellular organism,Bacteria,Cyanobacteria,unclassified,Nostocales,Aphanizomenonaceae,Nodularia,Nodularia spumigena,5316258,4909,58400,313624,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=313624,639857037,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=639857037,,,,
18,2588253501,Permanent Draft,"Genome Sequencing of Nitrosomonas cryotolerans and Nitrosospira briensis, missing pieces for comparative phylogenomics of ammonia-oxidizing bacteria",Nitrosomonas cryotolerans ATCC 49181,DOE Joint Genome Institute (JGI),2588253501,Cellular organism,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas cryotolerans,2928185,2710,58581,1131553,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1131553,2588253501,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2588253501,,,,
19,2503982040,Draft,Alphaproteobacteria sp. SAR11 HIMB5,Alphaproteobacteria sp. SAR11 HIMB5,J. Craig Venter Institute (JCVI),2503982040,Cellular organism,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified,1343202,1467,42135,28211,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=28211,2503982040,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2503982040,,,,
20,2531839001,Permanent Draft,Crocosphaera watsonii WH 0003,Crocosphaera watsonii WH 0003,"University of California, Santa Cruz",2531839001,Cellular organism,Bacteria,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,5890504,6187,46342,423471,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=423471,2531839001,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2531839001,,,,
21,2503113005,Permanent Draft,SAR116 cluster alpha proteobacterium sp. HIMB100,SAR116 cluster alpha proteobacterium sp. HIMB100,Pennsylvania State University,2503113005,Cellular organism,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified,SAR116 cluster alpha proteobacterium HIMB100,2459485,2376,12173,281031,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=281031,2503113005,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2503113005,,,,
22,2651870131,Draft,"Water column microbial communities from Red Sea, Saudi Arabia",SAR116 cluster alphaproteobacterium REDSEA-S10_B10N8,King Abdullah University of Science and Technology,2651870131,Cellular organism,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified,unclassified,1611705,1884,12315,62654,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=62654,2651870131,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2651870131,,,,
23,2537562135,Finished,Hoeflea phototrophica DFL-43,Hoeflea phototrophica DFL-43,J. Craig Venter Institute (JCVI),2537562135,Cellular organism,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea,Hoeflea phototrophica,4458057,4407,57649,411684,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=411684,2537562135,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2537562135,,,,
24,2606217318,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Prochlorococcus sp. MIT9123,Massachusetts Institute of Technology,2606217318,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,1697748,1980,58781,167545,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=167545,2606217318,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2606217318,,,,
25,637000058,Finished,Candidatus Pelagibacter ubique SAR11 HTCC1062,Candidatus Pelagibacter ubique SAR11 HTCC1062,"Oregon State University, Verenium Corporation, University of California, San Diego",637000058,Cellular organism,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique,1308759,1394,45080,335992,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=335992,637000058,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=637000058,,,,
26,2606217315,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Prochlorococcus sp. SS51,Massachusetts Institute of Technology,2606217315,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,1746977,1941,58306,167554,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=167554,2606217315,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2606217315,,,,
27,2548877051,Permanent Draft,Pseudoalteromonas sp. PAMC 22718,Pseudoalteromonas sp. PAMC 22718,Korea Polar Research Institute (KOPRI),2548877051,Cellular organism,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. PAMC 22718,4184624,3922,58984,1175295,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1175295,2548877051,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2548877051,,,,
28,638341093,Permanent Draft,Flavobacteria sp. BBFL7,Flavobacteria bacterium BBFL7,J. Craig Venter Institute (JCVI),638341093,Cellular organism,Bacteria,Bacteroidetes,Flavobacteriia,unclassified,unclassified,unclassified,Flavobacteria bacterium BBFL7,3083153,2627,57211,156586,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=156586,638341093,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=638341093,,,,
29,2606217688,Finished,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Prochlorococcus sp. MIT0604,Massachusetts Institute of Technology,2606217688,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0604,1780061,2089,59145,1501268,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1501268,2606217688,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2606217688,,,,
30,647533126,Permanent Draft,Cyanobium sp. PCC 7001,Cyanobium sp. PCC 7001,J. Craig Venter Institute (JCVI),647533126,Cellular organism,Bacteria,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium sp. PCC 7001,2834252,2826,55478,180281,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=180281,647533126,https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=647533126,,,,
